,Player,FantPos,Age,G,Y/A,Y/R,PPR,VBD,PosRank,OvRank,Year,Cmp/G,PassAtt/G,PassYds/G,PassTD/G,Int/G,RushAtt/G,RushYds/G,RushTD/G,Tgt/G,Rec/G,RecYds/G,RecTD/G,TotTD/G,PPG,ID,Next Year PPG
0,AJBrown,WR,23,14,0,15.36,247.5,51,9,28,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.571,5.0,76.786,0.786,0.857,17.679,AJBrown2020,NaN
1,AJDillon,RB,22,11,5.26,10.50,40.3,0,76,0,2020,0.0,0.0,0.0,0.0,0.0,4.182,22.0,0.182,0.182,0.182,1.909,0.0,0.182,3.664,AJDillon2020,NaN
2,AJGreen,WR,32,16,0,11.13,111.3,0,76,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.938,32.688,0.125,0.125,6.956,AJGreen2020,NaN
3,AJMcCarron,QB,30,2,0,0,0.8,0,76,0,2020,0.5,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,AJMcCarron2020,NaN
4,AaronJones,RB,26,14,5.49,7.55,258.9,82,5,13,2020,0.0,0.0,0.0,0.0,0.0,14.357,78.857,0.643,4.5,3.357,25.357,0.143,0.786,18.493,AaronJones2020,NaN
5,AaronRodgers,QB,37,16,3.92,-6.00,383.3,100,2,8,2020,23.25,32.875,268.688,3.0,0.312,2.375,9.312,0.188,0.062,0.062,-0.375,0.0,0.188,23.956,AaronRodgers2020,NaN
6,AdamHumphries,WR,27,7,0,9.91,57.8,0,112,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.286,32.571,0.286,0.286,8.257,AdamHumphries2020,NaN
7,AdamShaheen,TE,26,16,0,12.50,45.0,0,46,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0.75,9.375,0.188,0.188,2.812,AdamShaheen2020,NaN
8,AdamThielen,WR,30,15,5.00,12.50,254.0,54,7,26,2020,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,7.2,4.933,61.667,0.933,0.933,16.933,AdamThielen2020,NaN
9,AdamTrautman,TE,23,15,0,11.40,38.1,0,59,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.067,1.0,11.4,0.067,0.067,2.54,AdamTrautman2020,NaN
10,AdrianKillins,RB,22,1,-12.00,2.00,0,0,166,0,2020,0.0,0.0,0.0,0.0,0.0,1.0,-12.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,AdrianKillins2020,NaN
11,AdrianPeterson,RB,35,16,3.87,8.42,124.5,0,33,0,2020,0.0,0.0,0.0,0.0,0.0,9.75,37.75,0.438,1.125,0.75,6.312,0.0,0.438,7.781,AdrianPeterson2020,NaN
12,AlbertOkwuegbunam,TE,22,4,0,11.00,29.1,0,63,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,2.75,30.25,0.25,0.25,7.275,AlbertOkwuegbunam2020,NaN
13,AlecIngold,RB,24,16,1.33,9.17,29.4,0,100,0,2020,0.0,0.0,0.0,0.0,0.0,0.188,0.25,0.0,1.062,0.75,6.875,0.062,0.062,1.838,AlecIngold2020,NaN
14,AlexArmah,RB,26,16,1.50,3.60,7.7,0,143,0,2020,0.0,0.0,0.0,0.0,0.0,0.375,0.562,0.0,0.562,0.312,1.125,0.0,0.0,0.481,AlexArmah2020,NaN
15,AlexCollins,RB,26,3,4.28,4.00,21.1,0,95,0,2020,0.0,0.0,0.0,0.0,0.0,6.0,25.667,0.667,0.667,0.333,1.333,0.0,0.667,7.033,AlexCollins2020,NaN
16,AlexErickson,WR,28,16,1.40,11.58,22.6,0,165,0,2020,0.0,0.062,0.0,0.0,0.0,0.312,0.438,0.0,1.062,0.75,8.688,0.0,0.0,1.412,AlexErickson2020,NaN
17,AlexSmith,QB,36,8,0.30,0,71.6,0,36,0,2020,21.0,31.5,197.75,0.75,1.0,1.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,8.95,AlexSmith2020,NaN
18,AlexanderMattison,RB,22,13,4.52,9.62,86.9,0,50,0,2020,0.0,0.0,0.0,0.0,0.0,7.385,33.385,0.154,1.154,1.0,9.615,0.077,0.231,6.685,AlexanderMattison2020,NaN
19,AlfredMorris,RB,32,9,4.33,6.33,40.7,0,78,0,2020,0.0,0.0,0.0,0.0,0.0,6.111,26.444,0.111,0.444,0.333,2.111,0.111,0.222,4.522,AlfredMorris2020,NaN
20,AllenLazard,WR,25,10,8.50,13.67,97.8,0,75,0,2020,0.0,0.0,0.0,0.0,0.0,0.2,1.7,0.0,4.6,3.3,45.1,0.3,0.3,9.78,AllenLazard2020,NaN
21,AllenRobinson,WR,27,16,-1.00,12.25,262.9,35,12,38,2020,0.0,0.0,0.0,0.0,0.0,0.062,-0.062,0.0,9.438,6.375,78.125,0.375,0.375,16.431,AllenRobinson2020,NaN
22,AlshonJeffery,WR,30,7,0,19.17,23.5,0,144,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.857,0.857,16.429,0.143,0.143,3.357,AlshonJeffery2020,NaN
23,AlvinKamara,RB,25,15,4.98,9.11,377.8,165,2,2,2020,0.0,0.0,0.0,0.0,0.0,12.467,62.133,1.067,7.133,5.533,50.4,0.333,1.4,25.187,AlvinKamara2020,NaN
24,AmariCooper,WR,26,16,2.33,12.11,236.8,18,20,52,2020,0.0,0.0,0.0,0.0,0.0,0.375,0.875,0.0,8.125,5.75,69.625,0.312,0.312,14.8,AmariCooper2020,NaN
25,AmeerAbdullah,RB,27,16,5.25,7.25,30.0,0,93,0,2020,0.0,0.0,0.0,0.0,0.0,0.5,2.625,0.0,0.562,0.5,3.625,0.125,0.125,1.875,AmeerAbdullah2020,NaN
26,AndreRoberts,WR,32,15,-3.00,8.50,3.1,0,245,0,2020,0.0,0.0,0.0,0.0,0.0,0.067,-0.2,0.0,0.333,0.267,2.267,0.0,0.0,0.207,AndreRoberts2020,NaN
27,AndrewBeck,0,24,10,0,0,0,0,115,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AndrewBeck2020,NaN
28,AndyDalton,QB,33,11,4.07,-3.00,136.9,0,29,0,2020,19.636,30.273,197.273,1.273,0.727,2.545,10.364,0.0,0.091,0.091,-0.273,0.0,0.0,12.445,AndyDalton2020,NaN
29,AndyIsabella,WR,24,13,-6.00,10.67,54.8,0,114,0,2020,0.0,0.0,0.0,0.0,0.0,0.077,-0.462,0.0,2.692,1.615,17.231,0.154,0.154,4.215,AndyIsabella2020,NaN
30,AndyJanovich,RB,27,14,2.00,6.50,3.7,0,146,0,2020,0.0,0.0,0.0,0.0,0.0,0.143,0.286,0.0,0.357,0.143,0.929,0.0,0.0,0.264,AndyJanovich2020,NaN
31,AnthonyFirkser,TE,25,16,0,9.92,83.7,0,32,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.312,2.438,24.188,0.062,0.062,5.231,AnthonyFirkser2020,NaN
32,AnthonyMcFarlandJr,RB,21,11,3.42,9.00,22.7,0,101,0,2020,0.0,0.0,0.0,0.0,0.0,3.0,10.273,0.0,0.818,0.545,4.909,0.0,0.0,2.064,AnthonyMcFarlandJr2020,NaN
33,AnthonyMiller,WR,26,16,6.00,9.90,108.7,0,85,0,2020,0.0,0.0,0.0,0.0,0.0,0.125,0.75,0.0,4.75,3.062,30.312,0.125,0.125,6.794,AnthonyMiller2020,NaN
34,AnthonySherman,RB,32,13,2.67,5.00,8.3,0,128,0,2020,0.0,0.0,0.0,0.0,0.0,0.231,0.615,0.0,0.154,0.077,0.385,0.077,0.077,0.638,AnthonySherman2020,NaN
35,AntonioBrown,WR,32,8,-1.00,10.73,117.1,0,67,0,2020,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,0.0,7.75,5.625,60.375,0.5,0.5,14.638,AntonioBrown2020,NaN
36,AntonioCallaway,WR,23,5,0,10.00,4.0,0,202,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,4.0,0.0,0.0,0.8,AntonioCallaway2020,NaN
37,AntonioGandyGolden,WR,22,6,22.00,3.00,3.5,0,199,0,2020,0.0,0.0,0.0,0.0,0.0,0.167,3.667,0.0,1.167,0.167,0.5,0.0,0.0,0.583,AntonioGandyGolden2020,NaN
38,AntonioGibson,RB,22,14,4.68,6.86,202.2,36,14,37,2020,0.0,0.0,0.0,0.0,0.0,12.143,56.786,0.786,3.143,2.571,17.643,0.0,0.786,14.443,AntonioGibson2020,NaN
39,AntonioWilliams,RB,23,1,5.25,20.00,21.3,0,94,0,2020,0.0,0.0,0.0,0.0,0.0,12.0,63.0,2.0,1.0,1.0,20.0,0.0,2.0,21.3,AntonioWilliams2020,NaN
40,AntonyAuclair,0,27,8,0,0,0,0,126,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,AntonyAuclair2020,NaN
41,ArtavisPierce,RB,24,5,5.67,0,9.4,0,121,0,2020,0.0,0.0,0.0,0.0,0.0,1.2,6.8,0.2,0.0,0.0,0.0,0.0,0.2,1.88,ArtavisPierce2020,NaN
42,AshtonDulin,WR,23,13,5.50,17.67,9.4,0,178,0,2020,0.0,0.0,0.0,0.0,0.0,0.154,0.846,0.0,0.462,0.231,4.077,0.0,0.0,0.723,AshtonDulin2020,NaN
43,AudenTate,WR,23,9,0,10.71,29.0,0,155,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.444,1.556,16.667,0.0,0.0,3.222,AudenTate2020,NaN
44,AustinCarr,WR,27,6,0,9.00,11.7,0,172,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.5,4.5,0.167,0.167,1.95,AustinCarr2020,NaN
45,AustinEkeler,RB,25,10,4.57,7.46,165.3,0,35,0,2020,0.0,0.0,0.0,0.0,0.0,11.6,53.0,0.1,6.5,5.4,40.3,0.2,0.3,16.53,AustinEkeler2020,NaN
46,AustinHooper,TE,26,13,0,9.46,113.5,0,22,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.385,3.538,33.462,0.308,0.308,8.731,AustinHooper2020,NaN
47,AustinMack,WR,23,11,0,13.00,16.1,0,170,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.636,8.273,0.0,0.0,1.464,AustinMack2020,NaN
48,AustinWalter,RB,24,4,3.00,27.00,4.0,0,142,0,2020,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.25,0.25,6.75,0.0,0.0,1.0,AustinWalter2020,NaN
49,BakerMayfield,QB,25,16,3.06,6.00,248.6,0,17,0,2020,19.062,30.375,222.688,1.625,0.5,3.375,10.312,0.062,0.062,0.062,0.375,0.0,0.062,15.538,BakerMayfield2020,NaN
50,BenDiNucci,QB,24,3,3.67,0,7.0,0,64,0,2020,7.667,14.333,73.0,0.0,0.0,2.0,7.333,0.0,0.0,0.0,0.0,0.0,0.0,2.333,BenDiNucci2020,NaN
51,BenEllefson,TE,24,7,0,10.00,4.0,0,97,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.143,1.429,0.0,0.0,0.571,BenEllefson2020,NaN
52,BenRoethlisberger,QB,38,15,0.44,0,267.2,0,14,0,2020,26.6,40.533,253.533,2.2,0.667,1.667,0.733,0.0,0.0,0.0,0.0,0.0,0.0,17.813,BenRoethlisberger2020,NaN
53,BennieFowler,WR,29,5,0,5.50,3.1,0,212,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.4,2.2,0.0,0.0,0.62,BennieFowler2020,NaN
54,BennySnellJr,RB,22,16,3.32,6.10,74.9,0,58,0,2020,0.0,0.0,0.0,0.0,0.0,6.938,23.0,0.25,0.875,0.625,3.812,0.0,0.25,4.681,BennySnellJr2020,NaN
55,BlaineGabbert,QB,31,4,1.78,0,15.3,0,52,0,2020,2.25,4.0,35.75,0.5,0.0,2.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.825,BlaineGabbert2020,NaN
56,BlakeBell,TE,29,16,2.00,10.00,22.2,0,71,0,2020,0.0,0.0,0.0,0.0,0.0,0.062,0.125,0.0,0.938,0.688,6.875,0.0,0.0,1.388,BlakeBell2020,NaN
57,BlakeJarwin,TE,26,1,0,12.00,2.2,0,105,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,2.2,BlakeJarwin2020,NaN
58,BoScarbrough,RB,26,1,5.17,0,3.1,0,141,0,2020,0.0,0.0,0.0,0.0,0.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,BoScarbrough2020,NaN
59,BostonScott,RB,25,16,4.68,8.48,95.6,0,52,0,2020,0.0,0.0,0.0,0.0,0.0,5.0,23.375,0.062,2.25,1.562,13.25,0.062,0.125,5.975,BostonScott2020,NaN
60,BrandinCooks,WR,27,15,0,14.20,232.0,25,16,44,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.933,5.4,76.667,0.4,0.4,15.467,BrandinCooks2020,NaN
61,BrandonAiyuk,WR,22,12,12.83,12.47,184.5,0,34,0,2020,0.0,0.0,0.0,0.0,0.0,0.5,6.417,0.167,8.0,5.0,62.333,0.417,0.583,15.375,BrandonAiyuk2020,NaN
62,BrandonAllen,QB,28,5,2.08,0,49.7,0,42,0,2020,18.0,28.4,185.0,1.0,0.8,2.6,5.4,0.0,0.2,0.0,0.0,0.0,0.0,9.94,BrandonAllen2020,NaN
63,BrandonDillon,TE,23,3,0,6.00,1.6,0,108,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,2.0,0.0,0.0,0.533,BrandonDillon2020,NaN
64,BrandonPowell,WR,25,15,3.50,5.75,29.6,0,143,0,2020,0.0,0.0,0.0,0.0,0.0,0.133,0.467,0.0,1.2,0.8,4.6,0.133,0.133,1.973,BrandonPowell2020,NaN
65,BrandonZylstra,WR,27,16,1.00,11.67,12.6,0,168,0,2020,0.0,0.0,0.0,0.0,0.0,0.062,0.062,0.0,0.25,0.188,2.188,0.0,0.062,0.788,BrandonZylstra2020,NaN
66,BraxtonBerrios,WR,25,16,9.67,10.65,97.3,0,83,0,2020,0.0,0.0,0.0,0.0,0.0,0.188,1.812,0.0,3.438,2.312,24.625,0.188,0.188,6.081,BraxtonBerrios2020,NaN
67,BreshadPerriman,WR,27,12,6.00,16.83,99.1,0,71,0,2020,0.0,0.0,0.0,0.0,0.0,0.083,0.5,0.0,5.0,2.5,42.083,0.25,0.25,8.258,BreshadPerriman2020,NaN
68,BrettRypien,QB,24,3,-1.00,0,11.3,0,58,0,2020,9.0,13.333,98.333,0.667,1.333,1.667,-1.667,0.0,0.0,0.0,0.0,0.0,0.0,3.767,BrettRypien2020,NaN
69,BrianHill,RB,25,16,4.65,7.96,95.4,0,53,0,2020,0.0,0.0,0.0,0.0,0.0,6.25,29.062,0.062,1.875,1.562,12.438,0.0,0.062,5.962,BrianHill2020,NaN
70,BrianHoyer,QB,35,1,8.00,0,2.0,0,70,0,2020,15.0,24.0,130.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,BrianHoyer2020,NaN
71,BruceMiller,RB,33,8,0,2.00,1.2,0,162,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.15,BruceMiller2020,NaN
72,BryanEdwards,WR,22,12,0,17.55,36.3,0,130,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.917,16.083,0.083,0.083,3.025,BryanEdwards2020,NaN
73,BuddyHowell,RB,24,14,4.00,3.00,7.7,0,130,0,2020,0.0,0.0,0.0,0.0,0.0,1.143,4.571,0.0,0.143,0.071,0.214,0.0,0.0,0.55,BuddyHowell2020,NaN
74,ByronPringle,WR,27,13,0,12.31,41.0,0,123,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.308,1.0,12.308,0.077,0.154,3.154,ByronPringle2020,NaN
75,CJBeathard,QB,27,6,4.67,0,52.3,0,41,0,2020,11.0,17.333,131.167,1.0,0.0,1.0,4.667,0.0,0.0,0.0,0.0,0.0,0.0,8.717,CJBeathard2020,NaN
76,CJBoard,WR,27,14,3.00,9.18,21.4,0,167,0,2020,0.0,0.0,0.0,0.0,0.0,0.071,0.214,0.0,1.143,0.786,7.214,0.0,0.0,1.529,CJBoard2020,NaN
77,CJGoodwin,0,30,16,0,0,0,0,236,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,CJGoodwin2020,NaN
78,CJHam,RB,27,15,3.60,12.13,25.5,0,99,0,2020,0.0,0.0,0.0,0.0,0.0,0.333,1.2,0.0,0.867,0.533,6.467,0.067,0.067,1.7,CJHam2020,NaN
79,CJProsise,RB,26,10,1.90,3.60,12.7,0,126,0,2020,0.0,0.0,0.0,0.0,0.0,1.0,1.9,0.0,0.5,0.5,1.8,0.1,0.1,1.27,CJProsise2020,NaN
80,CJUzomah,TE,27,2,0,10.88,22.7,0,69,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,4.0,43.5,0.5,0.5,11.35,CJUzomah2020,NaN
81,CalebWilson,0,24,5,0,0,0,0,121,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CalebWilson2020,NaN
82,CalvinRidley,WR,26,15,0.20,15.27,281.5,65,4,20,2020,0.0,0.0,0.0,0.0,0.0,0.333,0.067,0.0,9.533,6.0,91.6,0.6,0.6,18.767,CalvinRidley2020,NaN
83,CamAkers,RB,21,13,4.31,11.18,101.8,0,42,0,2020,0.0,0.0,0.0,0.0,0.0,11.154,48.077,0.154,1.077,0.846,9.462,0.077,0.231,7.831,CamAkers2020,NaN
84,CamNewton,QB,31,15,4.32,17.50,261.0,0,16,0,2020,16.133,24.533,177.133,0.533,0.667,9.133,39.467,0.8,0.133,0.133,2.333,0.067,0.867,17.4,CamNewton2020,NaN
85,CamSims,WR,24,16,5.00,14.91,86.2,0,92,0,2020,0.0,0.0,0.0,0.0,0.0,0.062,0.312,0.0,3.0,2.0,29.812,0.062,0.062,5.388,CamSims2020,NaN
86,CameronBatson,WR,25,12,5.00,8.33,30.0,0,141,0,2020,0.0,0.0,0.0,0.0,0.0,0.333,1.667,0.0,1.083,1.0,8.333,0.083,0.083,2.5,CameronBatson2020,NaN
87,CameronBrate,TE,29,16,0,10.07,68.2,0,38,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,1.75,17.625,0.125,0.125,4.262,CameronBrate2020,NaN
88,CarlosHyde,RB,30,10,4.40,5.81,84.9,0,54,0,2020,0.0,0.0,0.0,0.0,0.0,8.1,35.6,0.4,2.0,1.6,9.3,0.0,0.4,8.49,CarlosHyde2020,NaN
89,CarsonWentz,QB,28,12,5.31,0,198.4,0,22,0,2020,20.917,36.417,218.333,1.333,1.25,4.333,23.0,0.417,0.0,0.0,0.0,0.0,0.417,16.533,CarsonWentz2020,NaN
90,CaseKeenum,QB,32,2,0,0,1.8,0,72,0,2020,2.5,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,CaseKeenum2020,NaN
91,CedrickWilsonJr,WR,25,16,-4.00,11.12,51.6,0,113,0,2020,0.125,0.125,1.438,0.062,0.0,0.188,-0.75,0.0,1.75,1.062,11.812,0.125,0.125,3.225,CedrickWilsonJr2020,NaN
92,CeeDeeLamb,WR,21,16,8.20,12.64,217.7,17,21,55,2020,0.0,0.0,0.0,0.0,0.0,0.625,5.125,0.062,6.938,4.625,58.438,0.312,0.438,13.606,CeeDeeLamb2020,NaN
93,CethanCarter,TE,25,15,0,10.60,10.3,0,86,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.333,3.533,0.0,0.0,0.687,CethanCarter2020,NaN
94,ChadBeebe,WR,26,14,0,10.05,50.1,0,119,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.143,1.429,14.357,0.143,0.143,3.579,ChadBeebe2020,NaN
95,ChadHansen,WR,25,5,0,13.88,46.6,0,120,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.4,47.2,0.2,0.2,9.32,ChadHansen2020,NaN
96,ChadHenne,QB,35,3,-0.29,0,23.7,0,47,0,2020,9.333,12.667,82.667,0.667,0.0,2.333,-0.667,0.333,0.0,0.0,0.0,0.0,0.333,7.9,ChadHenne2020,NaN
97,ChandlerCox,RB,24,8,0,4.50,2.9,0,152,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.125,0.0,0.0,0.362,ChandlerCox2020,NaN
98,CharlieWoerner,TE,23,14,0,12.00,6.6,0,93,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.214,2.571,0.0,0.0,0.471,CharlieWoerner2020,NaN
99,ChaseClaypool,WR,22,16,1.60,14.08,214.9,27,14,42,2020,0.0,0.0,0.0,0.0,0.0,0.625,1.0,0.125,6.812,3.875,54.562,0.562,0.688,13.431,ChaseClaypool2020,NaN
100,ChaseDaniel,QB,34,4,8.00,0,12.2,0,56,0,2020,7.25,10.75,66.0,0.25,0.5,0.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,ChaseDaniel2020,NaN
101,ChaseEdmonds,RB,24,16,4.62,7.58,168.0,0,30,0,2020,0.0,0.0,0.0,0.0,0.0,6.062,28.0,0.062,4.188,3.312,25.125,0.25,0.312,10.5,ChaseEdmonds2020,NaN
102,ChrisCarson,RB,26,12,4.83,7.76,187.8,21,16,48,2020,0.0,0.0,0.0,0.0,0.0,11.75,56.75,0.417,3.833,3.083,23.917,0.333,0.75,15.65,ChrisCarson2020,NaN
